Date,Open,High,Low,Close,Volume
2013-10-31,3,3,3,3,0
2013-11-30,3,65,3,41,0
2013-12-31,41,43,8.48,23.55,0
2014-01-31,23.55,31.26,20.29,21.59,0
2014-02-28,21.59,22.66,11.13,15.05,0
2014-03-31,15.05,20.5,12.74,12.74,0
2014-04-30,12.74,13.81,5,11.11,0
2014-05-31,11.11,12.7,9.56,11.08,0
2014-06-30,11.08,12.5,8.37,9.12,0
2014-07-31,9.12,10.75,7.02,7.61,0
2014-08-31,7.61,7.8,3.59,4.92,0
2014-09-30,4.92,5.57,4.17,4.48,0
2014-10-31,4.48,4.56,3.46,3.76,0
2014-11-30,3.76,4.46,3.47,3.57,0
2014-12-31,3.57,3.8,2.64,2.71,0
2015-01-31,2.71,2.72,1.12,1.88,0
2015-02-28,1.88,2.03,1.66,1.84,0
2015-03-31,1.84,2.08,1.6,1.65,0
2015-04-30,1.65,1.71,1.29,1.43,0
2015-05-31,1.43,1.94,1.37,1.63,0
2015-06-30,1.63,4.53,1.58,4.1,0
2015-07-31,4.1,8.66,3.18,4.56,0
2015-08-31,4.56,4.61,2.49,2.82,0
2015-09-30,2.82,3.16,2.52,2.98,0
2015-10-31,2.98,4,2.92,3.55,0
2015-11-30,3.55,4.94,2.85,3.6,0
2015-12-31,3.6,3.91,3.27,3.47,0
2016-01-31,3.47,3.63,2.89,3.06,0
2016-02-29,3.06,3.6,3,3.4,0
2016-03-31,3.4,3.45,3.1,3.23,0
2016-04-30,3.23,4.21,3.16,3.65,0
2016-05-31,3.65,4.79,3.61,4.56,0
2016-06-30,4.56,11.71,3.31,4.16,0
2016-07-31,4.16,4.63,3.84,3.94,0
2016-08-31,3.94,4.01,3.25,3.79,0
2016-09-30,3.79,4.04,3.73,3.83,0
2016-10-31,3.83,4.1,3.71,3.96,0
2016-11-30,3.96,4.17,3.58,3.87,0
2016-12-31,3.87,4.68,3.28,4.32,0
2017-01-31,4.32,4.73,3.48,4.02,0
2017-02-28,4.02,4.06,3.45,3.77,0
2017-03-31,3.77,8.23,3.7,7.1,0
2017-04-30,7.1,16.09,6.47,15.63,0
2017-05-31,15.63,36.47,14.94,25.91,0
2017-06-30,25.91,50.14,25.45,39.48,0
2017-07-31,39.48,56.58,35.49,42.38,0
2017-08-31,42.38,74.59,41.11,73.03,0
2017-09-30,73.03,93.67,33.38,55.41,0
2017-10-31,55.41,69.95,48.12,55.5,0
2017-11-30,55.5,103.03,50.03,85.94,0
2017-12-31,85.94,401.76,81.11,226.52,0
2018-01-31,226.52,305.21,136.45,161.46,0
2018-02-28,161.46,252.14,102.59,205.23,0
2018-03-31,205.18,217.91,109.82,117.11,0
2018-04-30,117.11,165.96,110.03,149.04,0
2018-05-31,149.09,183.06,109.93,119.6,0
2018-06-30,119.59,127.94,72.57,79.61,0
2018-07-31,79.61,94.39,74.51,77.51,0
2018-08-31,77.51,79.26,49.33,62.14,0
2018-09-30,62.14,69.37,47.24,60.4,0
2018-10-31,60.4,62.05,47.81,49.8,0
2018-11-30,49.78,56.53,26.85,31.6,0
2018-12-31,31.61,36.94,22.36,30,0
2019-01-31,30,41.46,29.76,31.6,0
2019-02-28,31.62,53.98,30.87,46.27,0
2019-03-31,46.26,62.94,45.12,60.67,0
2019-04-30,60.67,99.32,60.31,74.57,0
2019-05-31,74.56,122,72.16,112.43,0
2019-06-30,112.43,146.18,97.84,129.19,0
2019-07-31,129.21,129.25,76.92,99.67,0
2019-08-31,99.71,106.77,62.23,64.83,0
2019-09-30,64.91,80.21,50.46,55.76,0
2019-10-31,55.76,63.8,47.48,58.19,0
2019-11-30,58.19,65.81,42.33,47.46,0
2019-12-31,47.46,48.49,36.05,41.31,0
2020-01-31,41.29,70.07,38.85,68.47,0
2020-02-29,68.47,84.24,56.92,59.05,0
2020-03-31,59.04,63.95,25.05,39.32,0
2020-04-30,39.32,50.84,37.27,46.83,0
2020-05-31,46.8,49.97,39.6,46.02,0
2020-06-30,46.03,49.91,39.53,41.22,0
2020-07-31,41.23,59.18,40.37,58.53,0
2020-08-31,58.53,68.95,51.72,60.71,0
2020-09-30,60.72,64.36,42.16,45.84,0
2020-10-31,45.84,60.49,43.48,56.09,0
2020-11-30,56.09,93.9,51.62,87.72,0
2020-12-31,87.69,139.14,70.08,124.77,0
2021-01-31,124.77,186.1,112.46,128.56,0
2021-02-28,128.54,246.91,126.11,164.93,0
2021-03-31,164.96,229.91,163.6,195.5,0
2021-04-30,195.47,335.38,192.31,267.69,0
2021-05-31,267.68,413.57,118.71,183.66,0
2021-06-30,183.82,197.59,105.26,143.32,0
2021-07-31,143.36,147.98,104.2,145.65,0
2021-08-31,145.63,191.43,135.66,171.48,0
2021-09-30,170.91,233.42,140.06,152.74,0
2021-10-31,152.7,214.39,151.19,192.2,0
2021-11-30,192.15,296.63,183.64,209.6,0
2021-12-31,209.5,217.84,140.48,146.1146,8996207.150454
2022-01-31,146.1146,153.8615,96.4193,109.6548,57413676.805253
2022-02-28,109.6548,143.815,91.5366,111.6446,43973092.494949
2022-03-31,112.0448,134.0402,96.31926,124.4249,33146568.306931
2022-04-30,124.3373,129.5518,96.6,99.8,28118051.67416
2022-05-31,99.7,107.1,52.195,68.24536,52338214.976244
2022-06-30,68.24741,70.54352,40.3394,51.36828,88736177.568795
2022-07-31,51.3583,64.58258,46.43886,61.56416,56744875.580282
2022-08-31,61.55846,65.83106,51.80466,54.82945,51311258.895046
2022-09-30,54.82945,67.36751,50.04,53.14,60868461.770982
2022-10-31,53.12,57.63959,48.35661,55.07559,42550135.093454
2022-11-30,55.0667,83.37148,48.7488,78.98316,100765108.41021
2022-12-31,78.98316,84.997,61.05122,70.05496,47471307.077407
2023-01-31,70.03496,97.77489,68.87348,93.71843,50594764.192344
2023-02-28,93.71843,105.66951,88.24349,94.08787,34445370.251332
2023-03-31,94.07881,98.36885,65.52549,89.88797,64293182.04601
2023-04-30,89.89798,103.35306,84.27854,88.8306,38261861.761311
2023-05-31,88.8306,95.03749,75.55134,89.4043,37943337.210662
2023-06-30,89.4043,111.95968,70.73444,107.16355,71568795.323313
2023-07-31,107.17355,114.93425,87.5581,92.25431,59523310.869954
2023-08-31,92.21432,94.25285,55.99384,63.65172,31057582.176414
2023-09-30,63.67172,68.44,57.69153,66.22324,16741096.735238
2023-10-31,66.23324,72.81655,59.90497,68.76887,10432456.650084
2023-11-30,68.76887,76.81534,65.19542,69.39763,14017902.792956
2023-12-31,69.4018,79.53226,68.07413,72.44188,17841913.662001
2024-01-31,72.42189,77.18772,58.06584,66.65265,19116354.881091
2024-02-29,66.65265,84.94699,65.68346,78.94655,16050234.081738
2024-03-31,78.94655,110.4719,72.13805,105.3826,53951298.023944
2024-04-30,105.4226,112.7616,70.62774,78.85656,48974401.45367
2024-05-31,78.83738,84.17505,74.54268,82.2174,7498774.9805661
